time,pwm_r,pwm_l
0.000000000000000000e+00,7.500000000000000000e+01,7.500000000000000000e+01
9.999999776482582092e-03,7.500000000000000000e+01,7.500000000000000000e+01
1.999999955296516418e-02,7.500000000000000000e+01,7.500000000000000000e+01
2.999999932944774628e-02,7.500000000000000000e+01,7.500000000000000000e+01
3.999999910593032837e-02,7.500000000000000000e+01,7.500000000000000000e+01
4.999999701976776123e-02,7.500000000000000000e+01,7.500000000000000000e+01
5.999999865889549255e-02,7.500000000000000000e+01,7.500000000000000000e+01
7.000000029802322388e-02,7.500000000000000000e+01,7.500000000000000000e+01
7.999999821186065674e-02,7.500000000000000000e+01,7.500000000000000000e+01
8.999999612569808960e-02,7.500000000000000000e+01,7.500000000000000000e+01
9.999999403953552246e-02,7.500000000000000000e+01,7.500000000000000000e+01
1.099999994039535522e-01,7.500000000000000000e+01,7.500000000000000000e+01
1.199999973177909851e-01,7.500000000000000000e+01,7.500000000000000000e+01
1.299999952316284180e-01,7.500000000000000000e+01,7.500000000000000000e+01
1.400000005960464478e-01,7.500000000000000000e+01,7.500000000000000000e+01
1.499999910593032837e-01,7.500000000000000000e+01,7.500000000000000000e+01
1.599999964237213135e-01,7.500000000000000000e+01,7.500000000000000000e+01
1.700000017881393433e-01,7.500000000000000000e+01,7.500000000000000000e+01
1.799999922513961792e-01,7.500000000000000000e+01,7.500000000000000000e+01
1.899999976158142090e-01,7.500000000000000000e+01,7.500000000000000000e+01
1.999999880790710449e-01,7.500000000000000000e+01,7.500000000000000000e+01
2.099999934434890747e-01,7.500000000000000000e+01,7.500000000000000000e+01
2.199999988079071045e-01,7.500000000000000000e+01,7.500000000000000000e+01
2.299999892711639404e-01,7.500000000000000000e+01,7.500000000000000000e+01
2.399999946355819702e-01,7.500000000000000000e+01,7.500000000000000000e+01
2.500000000000000000e-01,7.500000000000000000e+01,7.500000000000000000e+01
2.599999904632568359e-01,7.500000000000000000e+01,7.500000000000000000e+01
2.699999809265136719e-01,7.500000000000000000e+01,7.500000000000000000e+01
2.800000011920928955e-01,7.500000000000000000e+01,7.500000000000000000e+01
2.899999916553497314e-01,7.500000000000000000e+01,7.500000000000000000e+01
2.999999821186065674e-01,7.500000000000000000e+01,7.500000000000000000e+01
3.100000023841857910e-01,7.500000000000000000e+01,7.500000000000000000e+01
3.199999928474426270e-01,7.500000000000000000e+01,7.500000000000000000e+01
3.299999833106994629e-01,7.500000000000000000e+01,7.500000000000000000e+01
3.400000035762786865e-01,7.500000000000000000e+01,7.500000000000000000e+01
3.499999940395355225e-01,7.500000000000000000e+01,7.500000000000000000e+01
3.599999845027923584e-01,7.500000000000000000e+01,7.500000000000000000e+01
3.700000047683715820e-01,7.500000000000000000e+01,7.500000000000000000e+01
3.799999952316284180e-01,7.500000000000000000e+01,7.500000000000000000e+01
3.899999856948852539e-01,7.500000000000000000e+01,7.500000000000000000e+01
3.999999761581420898e-01,7.500000000000000000e+01,7.500000000000000000e+01
4.099999964237213135e-01,7.500000000000000000e+01,7.500000000000000000e+01
4.199999868869781494e-01,7.500000000000000000e+01,7.500000000000000000e+01
4.299999773502349854e-01,7.500000000000000000e+01,7.500000000000000000e+01
4.399999976158142090e-01,7.500000000000000000e+01,7.500000000000000000e+01
4.499999880790710449e-01,7.500000000000000000e+01,7.500000000000000000e+01
4.599999785423278809e-01,7.500000000000000000e+01,7.500000000000000000e+01
4.699999988079071045e-01,7.500000000000000000e+01,7.500000000000000000e+01
4.799999892711639404e-01,7.500000000000000000e+01,7.500000000000000000e+01
4.899999797344207764e-01,7.500000000000000000e+01,7.500000000000000000e+01
5.000000000000000000e-01,7.500000000000000000e+01,7.500000000000000000e+01
5.099999904632568359e-01,7.500000000000000000e+01,7.500000000000000000e+01
5.199999809265136719e-01,7.500000000000000000e+01,7.500000000000000000e+01
5.299999713897705078e-01,7.500000000000000000e+01,7.500000000000000000e+01
5.399999618530273438e-01,7.500000000000000000e+01,7.500000000000000000e+01
5.500000119209289551e-01,7.500000000000000000e+01,7.500000000000000000e+01
5.600000023841857910e-01,7.500000000000000000e+01,7.500000000000000000e+01
5.699999928474426270e-01,7.500000000000000000e+01,7.500000000000000000e+01
5.799999833106994629e-01,7.500000000000000000e+01,7.500000000000000000e+01
5.899999737739562988e-01,7.500000000000000000e+01,7.500000000000000000e+01
5.999999642372131348e-01,7.500000000000000000e+01,7.500000000000000000e+01
6.100000143051147461e-01,7.500000000000000000e+01,7.500000000000000000e+01
6.200000047683715820e-01,7.500000000000000000e+01,7.500000000000000000e+01
6.299999952316284180e-01,7.500000000000000000e+01,7.500000000000000000e+01
6.399999856948852539e-01,7.500000000000000000e+01,7.500000000000000000e+01
6.499999761581420898e-01,7.500000000000000000e+01,7.500000000000000000e+01
6.599999666213989258e-01,7.500000000000000000e+01,7.500000000000000000e+01
6.699999570846557617e-01,7.500000000000000000e+01,7.500000000000000000e+01
6.800000071525573730e-01,7.500000000000000000e+01,7.500000000000000000e+01
6.899999976158142090e-01,7.500000000000000000e+01,7.500000000000000000e+01
6.999999880790710449e-01,7.500000000000000000e+01,7.500000000000000000e+01
7.099999785423278809e-01,7.500000000000000000e+01,7.500000000000000000e+01
7.199999690055847168e-01,7.500000000000000000e+01,7.500000000000000000e+01
7.299999594688415527e-01,7.500000000000000000e+01,7.500000000000000000e+01
7.400000095367431641e-01,7.500000000000000000e+01,7.500000000000000000e+01
7.500000000000000000e-01,7.500000000000000000e+01,7.500000000000000000e+01
7.599999904632568359e-01,7.500000000000000000e+01,7.500000000000000000e+01
7.699999809265136719e-01,7.500000000000000000e+01,7.500000000000000000e+01
7.799999713897705078e-01,7.500000000000000000e+01,7.500000000000000000e+01
7.899999618530273438e-01,7.500000000000000000e+01,7.500000000000000000e+01
7.999999523162841797e-01,7.500000000000000000e+01,7.500000000000000000e+01
8.100000023841857910e-01,7.500000000000000000e+01,7.500000000000000000e+01
8.199999928474426270e-01,7.500000000000000000e+01,7.500000000000000000e+01
8.299999833106994629e-01,7.500000000000000000e+01,7.500000000000000000e+01
8.399999737739562988e-01,7.500000000000000000e+01,7.500000000000000000e+01
8.499999642372131348e-01,7.500000000000000000e+01,7.500000000000000000e+01
8.599999547004699707e-01,7.500000000000000000e+01,7.500000000000000000e+01
8.700000047683715820e-01,7.500000000000000000e+01,7.500000000000000000e+01
8.799999952316284180e-01,7.500000000000000000e+01,7.500000000000000000e+01
8.899999856948852539e-01,7.500000000000000000e+01,7.500000000000000000e+01
8.999999761581420898e-01,7.500000000000000000e+01,7.500000000000000000e+01
9.099999666213989258e-01,7.500000000000000000e+01,7.500000000000000000e+01
9.199999570846557617e-01,7.500000000000000000e+01,7.500000000000000000e+01
9.300000071525573730e-01,7.500000000000000000e+01,7.500000000000000000e+01
9.399999976158142090e-01,7.500000000000000000e+01,7.500000000000000000e+01
9.499999880790710449e-01,7.500000000000000000e+01,7.500000000000000000e+01
9.599999785423278809e-01,7.500000000000000000e+01,7.500000000000000000e+01
